"1","Akademisk Antikvariat","Odense C.","66177548"
"2","Als-Antikvariat","Augustenborg","31714216"
"3","Alstrup Antikvariat","Søborg","60805150"
"4","Antikvariat 2B","København V.","28252033"
"5","Blichfeldts Antikvariat","Randers C.","29218690"
"6","C. Rasmussens Antikvariat","Vordingborg","61285700"
"7","Foghs Antikvariat & Nostalgi","Sorø","30235069"
"8","Greens Boghandel & Antikvariat","Virum","45852000"
"9","Jydsk Antikvariat","Brabrand","21400399"
"0","1","2"
"1","1","1"
"2","2","2"
"3","2","3"
"4","3","3"
"5","3","4"
"6","4","4"
"7","4","5"
"8","5","5"
"9","5","6"
"10","6","6"
"11","6","7"
"12","7","1"
"13","5","2"
"14","6","3"
"1","Kampen om øen","A. Chr. Westergaard","Dansk","1948","60 DKK"
"2","Holger Danske","B. S. Ingemann","Dansk","1945","110 DKK"
"3","Lægekunst for krop, sjæl & ånd","Bach Boesen","Dansk","2006","110 DKK"
"4","Lykke-Peer","H. C. Andersen","Dansk","1945","110 DKK"
"5","Spind og bind","H. P. Hansen","Dansk","1947","135 DKK"
"6","Underground No. 8","R. Crumb","Engelsk","1980","110 DKK"
